trail,badlands,beach,boardwalk,botanical_garden,bridge,canal/natural,cemetery,cliff,coast,creek,dam,desert/sand,desert_road,driveway,farm,field,field_road,forest,forest_path,golf_course,highway,hot_spring,islet,japanese_garden,lagoon,lake/natural,lawn,marsh,mountain,mountain_path,ocean,orchard,picnic_area,pond,river,sky,swamp,swimming_hole,trench,valley,vineyard,waterfall,watering_hole,young_forest,elevation,length,cluster
Diamond Notch Falls via Diamond Notch Road,0,0,0,0,0,0,0,0,0,0.436695594,0,0,0,0,0,0,0,0.129772293,0,0,0,0,0,0,0,0,0,0,0.043297055,0,0,0,0,0,0.04872448,0,0,0,0,0,0,0.196874582,0,0,0.020373988,0.009433962,1
Diamond Notch Falls via Spruceton Road,0,0,0,0,0,0,0,0,0,0.689668729,0,0,0,0,0,0,0,0.033571786,0,0,0,0.159978882,0,0,0,0,0,0,0.021587588,0,0,0,0,0,0,0,0,0,0,0,0,0.082662853,0,0,0.008622589,0.007075472,1
Dickinson Hill Fire Tower Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055435467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522989431,0,0,0,0.220828199,0.004906209,0.006132075,0
Dix Mountain via Dix Trail,0,0,0,0,0,0,0,0,0,0,0,0,0.023619462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175030746,0.13394293,0,0,0,0,0,0,0,0,0,0.295284166,0,0,0,0,0.052425929,0.031132075,0
Dix Range,0,0,0,0,0,0,0,0.024932949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229457411,0.416231564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100658598,0.076134377,0.036084906,0
Dix Trail from Elk Lake Parking Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077358871,0,0,0,0,0,0,0,0,0,0,0.205580509,0.472226304,0,0,0,0,0,0,0,0,0,0.420628655,0,0,0,0,0.050986383,0.027830189,0
Donaldson Mountain  Mount Emmonds  Seward Mountain Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164512071,0.067419089,0,0,0,0,0,0,0,0,0,0.364975409,0,0,0,0,0.056568298,0.0375,0
Donaldson and Seward Mountain Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327100815,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139322528,0,0,0,0,0,0,0,0.035199391,0.176379158,0,0,0.067085155,0.053821408,0.032075472,4
Doodletown Bridle Path Loop Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050635682,0,0,0,0,0,0,0,0,0,0,0,0,0.040877257,0.214824852,0,0,0,0,0,0,0,0,0,0.218583995,0,0,0,0,0.022401105,0.017688679,0
Double Drop Falls (2 falls),0,0,0,0,0,0,0,0,0,0.145031217,0.0495618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180147878,0,0,0.088550756,0,0,0,0.036194259,0,0,0.000719773,0.00495283,2
Doubletop and Graham Bushwhack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100353834,0,0,0,0,0,0,0,0,0,0,0,0,0.113724181,0.025453798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427293773,0.060181853,0.025943396,2
Dover Stone Church,0,0,0,0,0,0,0,0,0,0.422394724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066617535,0,0,0,0,0,0,0,0,0,0,0,0,0.143024689,0,0,0.009724283,0.008726415,1
Dry Brook Ridge Trail,0,0,0,0.270304156,0,0,0,0,0,0,0,0,0,0,0,0.032440904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731506231,0.052088077,0.029481132,2
Dryer Road Park Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604173233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033370086,0.004862141,0.006603774,2
Dunderberg Spiral Railway,0,0,0,0,0,0,0,0,0.030921514,0,0,0,0,0,0,0,0,0.097102861,0,0,0,0,0.055197126,0,0.107823028,0,0,0,0,0,0.015292476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024854209,0.016509434,2
Durand Eastman Park Trail,0,0,0,0,0,0,0,0.011429886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017568565,0.045694136,0,0,0,0,0,0,0,0,0,0.013286753,0,0,0,0,0.005053102,0.007783019,2
Dutchess Rail Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209711199,0,0,0.259779006,0,0.228994452,0,0.181878944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003554798,0.030424528,2
Dyken Pond,0,0.088559875,0,0,0,0,0,0,0.006940542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052238915,0.093283457,0,0,0,0,0,0,0,0,0.092343988,0,0,0,0,0,0,0,0,0,0.003070053,0.006367925,2
Eagle Cliff Falls,0,0,0,0,0,0,0,0,0,0.387683916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088080773,0,0,0.016447021,0,0,0,0.810908522,0.002496794,0,0.000425988,0.000707547,1
Eagle Cliff and Mohonk Lake Trail,0,0,0,0,0,0,0,0,0,0,0.039741265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016713889,0,0,0,0,0,0,0,0.008628673,0.02074641,0,0,0,0,0.082906774,0,0,0,0,0.009636147,0.013915094,2
Eagle Hill Trail Loop,0.034078389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066950848,0,0,0,0,0,0,0,0,0,0,0.108748244,0,0,0,0,0.005244062,0.006603774,2
Earl Cardot Eastside Overland Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042281722,0,0.143285632,0,0,0,0,0,0.099390411,0,0,0.104437379,0,0,0,0,0,0.026383471,0,0.023370595,0.041273585,2
Earl Reservoir Loop,0,0,0,0,0,0.047841334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159113317,0,0.204180725,0,0,0,0,0,0,0.174969601,0,0.219387266,0,0,0,0,0,0,0,0.002012427,0.005188679,3
East Bay  Mudge Creek & Chimney Bluffs,0,0,0,0,0,0,0,1,0.634016286,0,0.0399565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020946792,0,0,0,0,0.009795158,0,0,0,0,0,0,0,0,0,0.003363838,0.004716981,5
East Drive  102nd Street Cutoff and West Drive Loop,0,0,0,0,0,0,0,0,0,0.411556191,0,0,0,0,0,0,0,0,0,0,0,0.102695721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178488384,0,0,0,0.208253636,0,0,0.004083611,0.012264151,1
East Esker Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018116459,0.107144996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151367646,0.008431629,0.011792453,2
East Greenbush Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179490459,0,0.295028411,0.252305598,0.536928795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002981918,0.003773585,4
East Mountain and Round Hill Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383840124,0,0,0,0,0,0,0,0,0,0,0.01710848,0,0,0,0,0,0,0,0,0,0,0.033245882,0,0,0,0.079747941,0.020183028,0.017688679,4
East Setauket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33101155,0.363306022,0,0,0,0,0,0,0,0,0,0,0.088687551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007697166,0.024764151,4
Eastwood Meadows Trail,0,0,0,0.145942227,0,0,0,0,0,0,0,0,0,0,0,0.031869647,0,0.577798088,0.250480346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019801108,0.022169811,4
Echo Cliff via Panther Mountain Trail,0,0,0,0,0,0,0,0,0.073313209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45898252,0.173342955,0,0,0,0,0,0,0,0,0.108911051,0,0,0,0,0,0,0,0,0.16732889,0.00957739,0.003773585,3
Echo Lake,0,0,0,0.703247868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102027037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029586936,0,0,0,0,0,0,0,0.022503929,0.01745283,2
Egbert via Appalachian Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427193648,0.107305637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013695545,0,0,0,0,0,0,0,0.007506206,0.008254717,4
Eisenhower Park Loop,0,0,0,0,0,0,0,0.182878173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281097033,0.641057384,0,0,0,0,0,0,0,0,0,0.098865532,0,0,0,0,0.000763841,0.008018868,0
Elephant's Head Trail,0,0,0,0,0,0,0,0,0.105485649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398451628,0.069628142,0,0,0,0,0.021215525,0,0,0,0.043365471,0,0,0,0,0,0,0,0,0,0.008093776,0.009669811,3
Elk Pen Loop Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061151322,0,0.027106481,0,0,0,0,0,0.041781585,0.039777771,0,0.105031773,0,0,0,0,0,0,0,0.022210144,0.016745283,2
Ellicott Creek Trailway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077550953,0.328979193,0,0.013311142,0.280112832,0.066909432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000807909,0.013443396,2
Elm Ridge Trail Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009958827,0.060663333,0,0.281655247,0,0,0,0,0,0,0,0,0,0,0,0,0.026788645,0,0,0,0,0,0,0,0,0,0,0,0.064052376,0.011751399,0.013207547,2
Emery Park,0,0,0,0,0.124000847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002409037,0.004009434,2
Enfield Creek Gorge Trail,0,0,0,0,0,0,0,0,0,0.370590578,0.274409151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059059633,0,0,0,0,0,0,0,0,0,0,0,0,0.567306003,0,0,0.002497172,0.002122642,1
Enfield Creek Gorge Trail and Rim Trail Short Loop,0,0,0,0,0,0,0,0.027418579,0,0.408660069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157610399,0,0,0,0,0,0,0,0,0,0,0,0,0.633190926,0,0,0.003892651,0.002830189,1
Enfield Falls Swimming Hole,0,0,0,0,0,0,0,0,0,0.137012412,0,0,0,0,0,0,0,0,0,0,0,0.014767959,0,0,0,0,0,0,0.164560498,0,0,0,0,0,0,0,0,0.054502699,0,0,0,0.194118361,0,0,0.000425988,0.001179245,2
Erie Canal Heritage Trail,0,0,0,0,0,0.327779858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147103765,0,0,0,0,0,0,0,0,0,0,0.272396781,0,0,0,0,0,0,0,0.006213552,0.142216981,2
Erie Canalway Trail  Pittsford to Spencerport,0,0,0,0,0,0.616061886,0,0,0,0,0,0,0,0,0,0,0.331241769,0,0,0,0.108282191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106187578,0,0,0,0,0,0,0,0,0,0.001924292,0.014386792,2
Erie Canalway Trail  Warners to Camillus,0,0,0,0.092191317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023824748,0,0,0,0,0,0,0,0,0,0,0,0.06677822,0,0.00990566,2
Erie Canalway Trail (Camillus to Jordan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972261389,0,0.507831908,0,0.034523369,0,0,0,0,0,0,0,0,0.019148699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038192,0.027830189,2
Erie County Reforestation Area Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45134128,0.469922661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002453105,0.003773585,4
Escarpment Loop  Kaaterskill Falls  Bastion Falls  and South Lake Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094465593,0,0,0,0,0,0,0,0.023450245,0.114713131,0,0,0,0,0.375943777,0,0,0,0,0.021049694,0.01745283,0
Escarpment Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097297896,0,0,0,0,0,0,0,0,0,0,0.111922796,0.217884198,0,0,0,0,0,0.188929668,0,0,0,0.252736921,0,0,0,0,0.07353438,0.051650943,0
Escarpment Trail  HWY 23 to North South Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062029124,0.122941154,0,0,0,0,0,0,0,0,0,0.262711566,0,0,0,0,0.076237202,0.043396226,0
Escarpment Trail to Burnt Knob,0,0,0,0,0,0,0,0,0,0,0,0,0.050791427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099181231,0,0,0,0,0,0,0,0,0,0,0.645240827,0,0,0,0,0.039851932,0.025,0
Esker Brook Nature Trail,0,0,0.02821838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144233169,0.423352848,0,0,0,0,0,0,0,0,0,0,0.084315698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000763841,0.002830189,4
Esopus Creek and Ashokan Reservoir,0,0,0,0,0,0.083358974,0,0,0,0,0,0,0.04898833,0,0,0,0.186189996,0,0,0,0.051190125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005390954,0.012735849,2
Esther Mountain via Marble Mountain Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188663819,0,0,0,0,0,0,0,0,0,0,0.160204924,0,0,0,0,0.04008696,0.01509434,2
Eternal Flame Falls Trail,0,0,0,0,0,0,0,0,0,0.356346219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054465363,0,0,0,0,0,0.049637878,0,0,0,0,0,0,0.20329467,0,0,0.001527682,0.001650943,1
Excelsior Glen Falls (3 Falls) Trail,0,0,0,0,0,0,0,0,0,0.683819654,0,0,0,0,0,0,0,0.044407129,0,0,0,0,0,0,0,0,0,0,0.162560493,0,0,0,0,0,0,0,0,0,0,0,0,0.500999162,0,0,0.002409037,0.002358491,1
FDR State Park Road Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352855333,0.671091495,0,0,0,0,0,0.075723938,0,0.058763365,0,0,0,0,0,0.122255763,0,0,0,0,0,0,0,0,0,0,0.00274689,0.006132075,2
Fair Haven Beach State Park Campground,0,0.251486437,0,0,0,0,0,0.285179928,0.624316462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473766884,0,0,0,0,0.185297143,0,0,0,0,0,0,0,0,0.003070053,0.005188679,5
Fairport Reservoirs Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143330594,0,0,0.001108857,0,0,0,0,0.137730418,0.110553475,0,0,0,0,0.005584265,0,0,0,0,0.004524289,0.0125,3
Farmingville Hills County Park Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148761099,0.311859813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07188822,0.001439546,0.002830189,4
Fawn Lake Trail,0,0,0,0,0,0,0,0,0.054875237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180664794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001674574,0.006839623,2
Fellows Hill Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053699701,0,0,0,0,0,0.030380191,0,0.01127773,0,0,0,0,0,0.099715113,0,0,0,0,0,0,0,0,0.010891982,0,0.009107334,0.008726415,2
Finch Hollow Nature Center Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38818856,0,0,0,1,0,0,0,0,0,0,0.196343064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067320792,0.000998869,0.001886792,2
Finger Lakes Backbone Trail,0,0,0.074535885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120725826,0.090290968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022200886,0,0,0,0,0,0,0.036410838,0.004671181,0.00990566,2
Finger Lakes Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052788917,0.086281463,0,0,0.149495061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025287978,0.008857617,0.01745283,2
Finger Lakes Trail to South Rim Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081450535,0,0,0,0,0,0,0.041122138,0,0,0,0,0,0,0,0,0,0,0.016026834,0,0.277284111,0,0.081935355,0.024134436,0.025235849,2
Fire Island Beach Walk,0,0,0,0,0,0,0,0,0.335469893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055186095,0,0,0,0,0.003070053,0.049764151,2
Fire Island Lighthouse Trail,0,0.150657887,0,0,0,0,0,0,0.165020519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158424265,0,0,0,0,0,0,0,0,0.015484077,0,0,0,0,0.000279096,0.014858491,2
Fire Tower and Bare Rock Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164598053,0,0,0,0,0,0,0,0.07991895,0,0.006182036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049275274,0.009239538,0.009433962,2
Fire Tower and Bare Rock Trail Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023429712,0,0,0,0,0,0.049783828,0,0,0,0,0,0.141792422,0.194109586,0,0.306134854,0,0,0,0,0,0,0,0.021196586,0.027830189,3
Fish Hatchery Trail,0,0,0,0,0,0,0.046254378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001630507,0.002830189,2
Fishers Park Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031857339,0.2617604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092329245,0.001483614,0.004009434,2
Fishkill Ridge  Scofield Ridge  and Casino Loop from Pocket Road,0,0,0,0,0,0,0,0,0.118911718,0,0,0,0.099012728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008082617,0,0,0,0,0,0,0.209196375,0,0,0,0,0.037677924,0.021933962,2
Fishkill Ridge Loop via Overlook and Fishkill Ridge Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02519637,0,0,0,0,0,0,0,0.50129199,0.1467404,0,0,0.036181037,0.022592065,0.012028302,0
Five Falls Loop,0,0,0,0,0,0,0,0,0,0.362773223,0,0,0,0,0,0,0,0.084429769,0,0,0,0,0,0,0,0,0,0,0.110762438,0,0,0,0,0,0,0,0,0,0,0,0,0.574183559,0,0,0.00919547,0.008254717,1
Five Mile Mountain Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352668872,0.064942714,0,0,0,0,0,0,0,0,0,0.083434664,0,0,0,0,0,0,0,0,0,0,0.173143972,0,0,0,0,0.033432731,0.021933962,4
Five Rivers Environmental Education Center Loop Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084486184,0.117308291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000998869,0.005188679,2
Floodwood Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286963857,0,0,0,0,0,0,0,0,0,0,0.225488954,0,0,0,0,0.005053102,0.014150943,0
Flume Knob,0,0,0,0,0,0,0,0,0,0,0,0,0.091329843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231900685,0,0,0,0,0,0,0,0,0,0.364442051,0,0,0,0,0.01213332,0.005896226,0
Forest Park,0,0,0,0.165795615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073920031,0,0,0,0,0,0.562280606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001057626,0.005424528,2
Fort Drum Trails,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760323403,0,0,0.623631586,0,0.22368021,0,0.138713397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005053102,0.020754717,2
Fort Hill Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374993408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086596138,0,0,0,0,0.003804515,0.00495283,2
Fort Washington Park Greenway to Riverbank State Park,0,0,0,0,0,0,0,0,0.17968622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052545688,0,0.054149543,0,0,0,0,0,0,0.104883384,0,0,0,0,0.00673219,0,0,0,0,0.003848583,0.012028302,2
Four Mile Creek Blue and Red Loop,0,0,0,0,0,0,0,0,0,0.125128723,0,0,0,0,0,0,0,0.171168889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024134145,0.016588526,0,0.223921984,0,0,0,0,0,0,0,0.000719773,0.004481132,2
Franklin Gulf Trail,0,0,0,0,0,0,0,0,0,0.321329931,0,0,0,0,0,0,0,0.474293261,0.182193218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174159959,0,0,0,0,0,0,0,0.004862141,0.005424528,4
Fred J. Cusimano Westside Overland Trail,0,0,0.019698091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035173555,0,0,0,0,0,0,0,0,0.057575074,0,0,0,0,0,0,0,0,0,0.033153635,0.055660377,2
French Louis to West Lake Trail,0,0,0,0,0,0,0,0,0,0.047319528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137793574,0,0.133148507,0,0,0,0,0,0.138862388,0.252787371,0,0,0,0,0,0,0,0,0,0.027703923,0.044339623,3
French Mountain,0.011736232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168913125,0,0,0,0,0,0,0.466720068,0,0,0,0.483598977,0,0,0,0,0.012427105,0.006367925,0
Friday Mountain and Balsam Cap from Moonhaw Rd,0,0,0.000535675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40664688,0.091633334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080129997,0,0,0,0,0,0,0,0.042936675,0.013207547,4
Furnace and Indian Hill Loop Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277796959,0,0,0,0,0,0,0,0,0,0,0.092208055,0,0,0,0,0,0,0,0,0,0,0.077831239,0,0,0,0,0.010311853,0.009198113,2
Galway Preserve,0,0,0,0,0,0,0,0,0,0.068570941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014797549,0,0,0,0,0,0,0.155386171,0.095431041,0.041165076,0,0,0,0,0,0,0,0,0,0.000998869,0.002830189,2
Ganargua Creek Meadow Preserve Trails from Wilkinson Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029840145,0.254571443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200807477,0.000323163,0.003066038,2
Ganondagan State Historic Site,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223075266,0,0.291922264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401425044,0,0,0,0,0,0,0,0,0,0,0,0.111680008,0.003363838,0.005424528,2
Gardiner County Park Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011626987,0,0.120492511,0,0,0,0,0,0.124455174,0,0,0.046709493,0,0,0,0,0,0.00423516,0,4.41E-05,0.003066038,2
Garnsey Park Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331476713,0,0,0,0.378456883,0,0,0,0,0,0,0,0,0,0,0,0.226963631,0,0,0,0,0,0,0,0,0,0,0,0.064902491,0.001439546,0.004716981,2
Genesee County Park and Forest Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017733161,0,0,0,0,0,0,0,0,0,0,0,0.061866152,0,0,0,0,0,0.271131796,0,0,0,0,0,0,0,0,0,0,0.000719773,0.00259434,2
Genesee River (Charlotte Area),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080854522,0,0.467721567,0,0,0,0,0,0.333891313,0.18087887,0,0,0.129934033,0,0,0,0,0,0,0.004274571,0.015801887,3
Genesee River Gorge Trail,0,0,0,0,0,0,0,0.016955928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101652545,0,0,0,0,0,0,0,0,0,0,0.087498387,0,0,0,0,0.019610147,0.020518868,2
Genesee Valley Greenway  Portageville to Nunda,0,0,0.009887175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729794268,0.165882462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158064916,0,0,0,0,0,0,0,0.012618065,0.037735849,4
Genesee Valley Greenway Trail Scottsville Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073201705,0,0.055810565,0,0,0,0,0,0.13440046,0.06647064,0,0.112883876,0,0,0,0,0,0,0,0.005581915,0.080188679,2
Geneva Lakefront Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064706319,0,0,0,0,0,0,0,0.622351363,0,0,0,0,0,0,0,0,0.000572881,0.010377358,2
George Washington Bridge,0,0,0,0,0.169750859,0,0,0,0.218269781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03867063,0,0,0,0,0.211153293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004333328,0.003773585,2
Gertrude's Nose Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02745054,0.035570017,0,0,0,0,0,0,0,0.030886502,0.047818538,0,0,0,0,0.186231896,0,0,0,0,0.016716365,0.015566038,2
